ID	name	storeID	author	levelUnlock	priceRuby	Song Loop	VersionMid	VersionMp3	MidFile	Mp3File	speedBegin	speedIncreaseAfterOneLoop	SongTrackClip	SongTrackSpeed	beginDistanceBySecond	AddStartDistance	typeSong	Category
1	First Snow	firstsnow		1	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/firstsnow.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/firstsnow.mp3	1	0.25	0;35.0;70	1;1.05263158;1.111111111111	1650	1000	HOT	1
2	Someone Is Leaving	someoneisleaving		2	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/someoneisleaving.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/someoneisleaving.mp3	1	0.25	0;45.0;90	1;1.05263158;1.111111111111	1400	1000	HOT	1
3	Love And Inspiration	loveandinspiration		3	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/loveandinspiration.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/loveandinspiration.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	1000	NORMAL	2
4	Romantic 3	romantic3	Smart Sounds	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/romantic3.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/romantic3.mp3	1	0.25	0;43.4;69.5	1;1.0204081633;1.0416666667	1140	1000	NORMAL	1
5	The Beautiful Danube	thebeautifuldanube	Johann Strauss II	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/thebeautifuldanube.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/thebeautifuldanube.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1400	1000	NORMAL	2
6	Christmas Ukulele	christmasukulele		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/christmasukulele.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/christmasukulele.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	2
7	Time To Grow	timetogrow		4	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/timetogrow.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/timetogrow.mp3	1	0.25	0;40.0;80	1;1.0204081633;1.0416666667	1400	1000	NORMAL	1
8	Rain Of Sakura	rainofsakura		5	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/rainofsakura.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/rainofsakura.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1800	1000	NORMAL	2
9	Wedding Piano	weddingpiano		6	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/weddingpiano.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/weddingpiano.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1500	1500	NORMAL	1
10	Emotional Orchestra	emotionalorchestra	Best Audio	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/emotionalorchestra.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/emotionalorchestra.mp3	1	0.25	0;45.11;75.6	1;1.0204081633;1.0416666667	1700	1000	NEW	2
